Epoch 1/100, Train Loss: 115.6736, Val Loss: 6.2346
Epoch 2/100, Train Loss: 3.3509, Val Loss: 1.0119
Epoch 3/100, Train Loss: 0.3029, Val Loss: 0.0989
Epoch 4/100, Train Loss: 0.0740, Val Loss: 0.0563
Epoch 5/100, Train Loss: 0.0527, Val Loss: 0.0474
Epoch 6/100, Train Loss: 0.0455, Val Loss: 0.0420
Epoch 7/100, Train Loss: 0.0402, Val Loss: 0.0359
Epoch 8/100, Train Loss: 0.0314, Val Loss: 0.0240
Epoch 9/100, Train Loss: 0.0237, Val Loss: 0.0264
Epoch 10/100, Train Loss: 0.0208, Val Loss: 0.0199
Epoch 11/100, Train Loss: 0.0155, Val Loss: 0.0152
Epoch 12/100, Train Loss: 0.0120, Val Loss: 0.0129
Epoch 13/100, Train Loss: 0.0115, Val Loss: 0.0292
Epoch 14/100, Train Loss: 0.0098, Val Loss: 0.0099
Epoch 15/100, Train Loss: 0.0098, Val Loss: 0.0083
Epoch 16/100, Train Loss: 0.0083, Val Loss: 0.0094
Epoch 17/100, Train Loss: 0.0063, Val Loss: 0.0067
Epoch 18/100, Train Loss: 0.0059, Val Loss: 0.0069
Epoch 19/100, Train Loss: 0.0053, Val Loss: 0.0058
Epoch 20/100, Train Loss: 0.0061, Val Loss: 0.0055
Epoch 21/100, Train Loss: 0.0052, Val Loss: 0.0048
Epoch 22/100, Train Loss: 0.0044, Val Loss: 0.0078
Epoch 23/100, Train Loss: 0.0038, Val Loss: 0.0087
Epoch 24/100, Train Loss: 0.0050, Val Loss: 0.0108
Epoch 25/100, Train Loss: 0.0049, Val Loss: 0.0047
Epoch 26/100, Train Loss: 0.0042, Val Loss: 0.0044
Epoch 27/100, Train Loss: 0.0042, Val Loss: 0.0044
Epoch 28/100, Train Loss: 0.0034, Val Loss: 0.0040
Epoch 29/100, Train Loss: 0.0043, Val Loss: 0.0202
Epoch 30/100, Train Loss: 0.0071, Val Loss: 0.0066
Epoch 31/100, Train Loss: 0.0095, Val Loss: 0.0047
Epoch 32/100, Train Loss: 0.0086, Val Loss: 0.0073
Epoch 33/100, Train Loss: 0.0054, Val Loss: 0.0064
Epoch 34/100, Train Loss: 0.0043, Val Loss: 0.0037
Epoch 35/100, Train Loss: 0.0071, Val Loss: 0.0032
Epoch 36/100, Train Loss: 0.0042, Val Loss: 0.0050
Epoch 37/100, Train Loss: 0.0135, Val Loss: 0.1273
Epoch 38/100, Train Loss: 0.0256, Val Loss: 0.0169
Epoch 39/100, Train Loss: 0.0057, Val Loss: 0.0040
Epoch 40/100, Train Loss: 0.0199, Val Loss: 0.0494
Epoch 41/100, Train Loss: 0.0153, Val Loss: 0.0105
Epoch 42/100, Train Loss: 0.0046, Val Loss: 0.0035
Epoch 43/100, Train Loss: 0.0242, Val Loss: 0.0093
Epoch 44/100, Train Loss: 0.0219, Val Loss: 0.2236
Epoch 45/100, Train Loss: 0.0748, Val Loss: 0.0492
Epoch 46/100, Train Loss: 0.0057, Val Loss: 0.0111
Epoch 47/100, Train Loss: 0.0041, Val Loss: 0.0039
Epoch 48/100, Train Loss: 0.0032, Val Loss: 0.0037
Epoch 49/100, Train Loss: 0.0414, Val Loss: 0.1152
Epoch 50/100, Train Loss: 0.0370, Val Loss: 0.0034
Epoch 51/100, Train Loss: 0.0094, Val Loss: 0.0149
Epoch 52/100, Train Loss: 0.0211, Val Loss: 0.0052
Epoch 53/100, Train Loss: 0.0160, Val Loss: 0.0543
Epoch 54/100, Train Loss: 0.0344, Val Loss: 0.0103
