simple_code_mlp code
Epoch 1/100, Train Loss: 1035.8618, Val Loss: 10.1259
Epoch 11/100, Train Loss: 8.4830, Val Loss: 9.0324
Epoch 21/100, Train Loss: 8.5702, Val Loss: 9.3321
Epoch 31/100, Train Loss: 8.6280, Val Loss: 9.7929
Epoch 41/100, Train Loss: 0.1286, Val Loss: 0.0932
Epoch 51/100, Train Loss: 0.0493, Val Loss: 0.0333
Epoch 61/100, Train Loss: 0.0357, Val Loss: 0.0428
Epoch 71/100, Train Loss: 0.0281, Val Loss: 0.0169
Epoch 81/100, Train Loss: 0.0255, Val Loss: 0.0327
Epoch 91/100, Train Loss: 0.0308, Val Loss: 0.0199
Test Loss: 0.0162
Train loss average: 0.02440814905613661, Valid loss average: 0.01769681937992573, Test loss average: 0.016211231231689452
