Epoch 1/20, Train Loss: 87.0460, Val Loss: 5.1597
Epoch 2/20, Train Loss: 3.1868, Val Loss: 1.9908
Epoch 3/20, Train Loss: 1.2783, Val Loss: 0.8728
Epoch 4/20, Train Loss: 0.4868, Val Loss: 0.3100
Epoch 5/20, Train Loss: 0.1841, Val Loss: 0.1106
Epoch 6/20, Train Loss: 0.0662, Val Loss: 0.0438
Epoch 7/20, Train Loss: 0.0292, Val Loss: 0.0210
Epoch 8/20, Train Loss: 0.0165, Val Loss: 0.0165
Epoch 9/20, Train Loss: 0.0115, Val Loss: 0.0089
Epoch 10/20, Train Loss: 0.0082, Val Loss: 0.0081
Epoch 11/20, Train Loss: 0.0065, Val Loss: 0.0071
Epoch 12/20, Train Loss: 0.0056, Val Loss: 0.0045
Epoch 13/20, Train Loss: 0.0044, Val Loss: 0.0042
Epoch 14/20, Train Loss: 0.0037, Val Loss: 0.0033
Epoch 15/20, Train Loss: 0.0031, Val Loss: 0.0032
Epoch 16/20, Train Loss: 0.0025, Val Loss: 0.0022
Epoch 17/20, Train Loss: 0.0026, Val Loss: 0.0018
Epoch 18/20, Train Loss: 0.0022, Val Loss: 0.0025
Epoch 19/20, Train Loss: 0.0019, Val Loss: 0.0017
Epoch 20/20, Train Loss: 0.0017, Val Loss: 0.0014
Test Loss: 0.0017
